,timestamp,production
127776,2022-11-01 00:00:00,
127777,2022-11-01 00:15:00,
127778,2022-11-01 00:30:00,
127779,2022-11-01 00:45:00,
127780,2022-11-01 01:00:00,
127781,2022-11-01 01:15:00,
127782,2022-11-01 01:30:00,
127783,2022-11-01 01:45:00,
127784,2022-11-01 02:00:00,
127785,2022-11-01 02:15:00,
127786,2022-11-01 02:30:00,
127787,2022-11-01 02:45:00,
127788,2022-11-01 03:00:00,
127789,2022-11-01 03:15:00,
127790,2022-11-01 03:30:00,
127791,2022-11-01 03:45:00,
127792,2022-11-01 04:00:00,
127793,2022-11-01 04:15:00,
127794,2022-11-01 04:30:00,
127795,2022-11-01 04:45:00,
127796,2022-11-01 05:00:00,
127797,2022-11-01 05:15:00,0.0
127798,2022-11-01 05:30:00,
127799,2022-11-01 05:45:00,
127800,2022-11-01 06:00:00,
127801,2022-11-01 06:15:00,
127802,2022-11-01 06:30:00,
127803,2022-11-01 06:45:00,
127804,2022-11-01 07:00:00,0.0
127805,2022-11-01 07:15:00,0.0
127806,2022-11-01 07:30:00,0.0
127807,2022-11-01 07:45:00,0.001
127808,2022-11-01 08:00:00,0.018
127809,2022-11-01 08:15:00,0.028
127810,2022-11-01 08:30:00,0.106
127811,2022-11-01 08:45:00,0.142
127812,2022-11-01 09:00:00,0.178
127813,2022-11-01 09:15:00,0.181
127814,2022-11-01 09:30:00,0.204
127815,2022-11-01 09:45:00,0.245
127816,2022-11-01 10:00:00,0.196
127817,2022-11-01 10:15:00,0.217
127818,2022-11-01 10:30:00,0.301
127819,2022-11-01 10:45:00,0.252
127820,2022-11-01 11:00:00,0.298
127821,2022-11-01 11:15:00,0.378
127822,2022-11-01 11:30:00,0.479
127823,2022-11-01 11:45:00,0.6
127824,2022-11-01 12:00:00,0.462
127825,2022-11-01 12:15:00,0.426
127826,2022-11-01 12:30:00,0.409
127827,2022-11-01 12:45:00,0.312
127828,2022-11-01 13:00:00,0.438
127829,2022-11-01 13:15:00,0.511
127830,2022-11-01 13:30:00,0.415
127831,2022-11-01 13:45:00,0.383
127832,2022-11-01 14:00:00,0.612
127833,2022-11-01 14:15:00,1.136
127834,2022-11-01 14:30:00,0.684
127835,2022-11-01 14:45:00,0.97
127836,2022-11-01 15:00:00,0.912
127837,2022-11-01 15:15:00,0.796
127838,2022-11-01 15:30:00,0.126
127839,2022-11-01 15:45:00,0.116
127840,2022-11-01 16:00:00,0.083
127841,2022-11-01 16:15:00,0.041
127842,2022-11-01 16:30:00,0.01
